Manufacturer,Model Name,Category,Loft Array,Bounce Options,Grinds,Face Material,Finish Options,Price,Stock Length,Swing Weight,Spin Profile,Offset,Left Handed
Titleist,Vokey SM11,Tour Wedge,46-62,04-14,"F, M, S, D, K, T",Cast Carbon / Spin Milled,"Tour Chrome, Jet Black, Raw",$189,"35.25""",D3-D5,Max,Zero,✓
Callaway,Opus,Tour Wedge,48-60,08-12,"S, W, C, T",Milled Carbon / Micro-Grooves,"Platinum Chrome, Black Shadow",$179,"35.25""",D3-D4,Max,Zero,✓
TaylorMade,Milled Grind 5,Tour Wedge,46-60,08-12,"Standard, Low, High, TW",Cast Carbon / Laser Etched,"Satin Chrome, Black",$179,"35.25""",D3-D5,Max,Zero,✓
PING,s159,Specialty Wedge,46-62,06-14,"S, W, T, H, E, B",8620 Carbon / Friction Face,"Hydropearl 2.0, Midnight",$179,"35.25""",D3-D4,Max,Zero,✓
Cleveland,RTX 7 ZipCore,Tour Wedge,46-60,06-12,"Low, Mid, Full, Mid+",8620 Carbon / UltiZip,"Tour Satin, Black Satin, Raw",$169,"35.25""",D3-D5,Max,Zero,✓
